inputfile,,,,,,,,,,,min,lower,avg,median,upper,max,variance
ant-1.3.csv recall,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.0
ant-1.3.csv recall,0.7142857142857143,0.8571428571428571,0.8571428571428571,0.7142857142857143,0.7142857142857143,0.8571428571428571,0.8571428571428571,0.7142857142857143,0.7142857142857143,0.8571428571428571,0.7142857142857143,0.7142857142857143,0.7857142857142857,0.7857142857142857,0.8571428571428571,0.8571428571428571,0.07142857142857138
ant-1.3.csv recall,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
ant-1.3.csv recall,0.8571428571428571,0.7142857142857143,1.0,1.0,0.8571428571428571,1.0,1.0,1.0,1.0,0.8571428571428571,0.7142857142857143,0.8571428571428571,0.9285714285714286,1.0,1.0,1.0,0.095831484749991
ant-1.3.csv recall,0.75,0.875,0.875,0.875,0.875,0.625,0.875,1.0,0.875,0.875,0.625,0.875,0.85,0.875,0.875,1.0,0.09354143466934853
ant-1.3.csv recall,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
ant-1.3.csv recall,0.8888888888888888,0.7777777777777778,0.7777777777777778,0.8888888888888888,0.8888888888888888,0.7777777777777778,0.8888888888888888,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.8222222222222222,0.7777777777777778,0.8888888888888888,0.8888888888888888,0.05443310539518171
ant-1.3.csv recall,1.0,1.0,1.0,1.0,1.0,0.8571428571428571,1.0,0.8571428571428571,0.8571428571428571,1.0,0.8571428571428571,0.8928571428571428,0.9571428571428571,1.0,1.0,1.0,0.06546536707079774
ant-1.3.csv recall,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.0
ant-1.3.csv recall,0.4444444444444444,0.6666666666666666,0.5555555555555556,0.5555555555555556,0.6666666666666666,0.6666666666666666,0.4444444444444444,0.7777777777777778,0.6666666666666666,0.5555555555555556,0.4444444444444444,0.5555555555555556,0.6,0.6111111111111112,0.6666666666666666,0.7777777777777778,0.10183501544346311
ant-1.4.csv recall,0.5384615384615384,0.5384615384615384,0.5384615384615384,0.6153846153846154,0.5384615384615384,0.5384615384615384,0.5384615384615384,0.5384615384615384,0.5384615384615384,0.5384615384615384,0.5384615384615384,0.5384615384615384,0.5461538461538462,0.5384615384615384,0.5384615384615384,0.6153846153846154,0.023076923076923096
ant-1.4.csv recall,0.6666666666666666,0.6666666666666666,0.75,0.75,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5833333333333334,0.6041666666666667,0.6583333333333334,0.6666666666666666,0.6666666666666666,0.75,0.05833333333333331
ant-1.4.csv recall,0.36363636363636365,0.36363636363636365,0.36363636363636365,0.36363636363636365,0.45454545454545453,0.36363636363636365,0.45454545454545453,0.45454545454545453,0.45454545454545453,0.36363636363636365,0.36363636363636365,0.36363636363636365,0.4,0.36363636363636365,0.45454545454545453,0.45454545454545453,0.04453617714151231
ant-1.4.csv recall,0.5,0.4,0.7,0.5,0.7,0.5,0.5,0.6,0.6,0.4,0.4,0.5,0.54,0.5,0.6,0.7,0.10198039027185568
