inputfile,,,,,,,,,,,min,lower,avg,median,upper,max,variance
ant-1.3.csv recall,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.25,0.375,0.25,0.375,0.3625,0.375,0.375,0.375,0.03952847075210474
ant-1.3.csv recall,0.5,0.5,0.625,0.5,0.5,0.5,0.5,0.625,0.5,0.5,0.5,0.5,0.525,0.5,0.5,0.625,0.05270462766947299
ant-1.3.csv recall,0.5714285714285714,0.42857142857142855,0.2857142857142857,0.42857142857142855,0.42857142857142855,0.2857142857142857,0.42857142857142855,0.2857142857142857,0.42857142857142855,0.42857142857142855,0.2857142857142857,0.3214285714285714,0.3999999999999999,0.42857142857142855,0.42857142857142855,0.5714285714285714,0.09035079029052512
ant-1.3.csv recall,0.3333333333333333,0.6666666666666666,0.5,0.6666666666666666,0.5,0.5,0.6666666666666666,0.5,0.5,0.5,0.3333333333333333,0.5,0.5333333333333333,0.5,0.625,0.6666666666666666,0.10540925533894596
ant-1.3.csv recall,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5,0.3333333333333333,0.3333333333333333,0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3666666666666667,0.3333333333333333,0.3333333333333333,0.5,0.07027283689263066
ant-1.3.csv recall,0.42857142857142855,0.42857142857142855,0.2857142857142857,0.42857142857142855,0.2857142857142857,0.42857142857142855,0.5714285714285714,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.2857142857142857,0.42857142857142855,0.41428571428571426,0.42857142857142855,0.42857142857142855,0.5714285714285714,0.08109231602822095
ant-1.3.csv recall,0.3333333333333333,0.5,0.3333333333333333,0.3333333333333333,0.5,0.3333333333333333,0.3333333333333333,0.5,0.3333333333333333,0.5,0.3333333333333333,0.3333333333333333,0.4,0.3333333333333333,0.5,0.5,0.08606629658238704
ant-1.3.csv recall,0.5,0.6,0.5,0.5,0.5,0.5,0.5,0.6,0.5,0.6,0.5,0.5,0.53,0.5,0.575,0.6,0.04830458915396478
ant-1.3.csv recall,0.1111111111111111,0.3333333333333333,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.3333333333333333,0.1111111111111111,0.2222222222222222,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.16666666666666666,0.1111111111111111,0.19444444444444442,0.3333333333333333,0.09442628728875527
ant-1.3.csv recall,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.7166666666666668,0.6666666666666666,0.7916666666666667,0.8333333333333334,0.08050764858994136
ant-1.4.csv recall,0.25,0.25,0.25,0.1875,0.25,0.3125,0.25,0.1875,0.125,0.1875,0.125,0.1875,0.225,0.25,0.25,0.3125,0.05270462766947299
ant-1.4.csv recall,0.3125,0.3125,0.3125,0.3125,0.375,0.3125,0.375,0.3125,0.3125,0.3125,0.3125,0.3125,0.325,0.3125,0.3125,0.375,0.026352313834736494
ant-1.4.csv recall,0.42857142857142855,0.2857142857142857,0.2857142857142857,0.35714285714285715,0.35714285714285715,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.35714285714285715,0.2857142857142857,0.2857142857142857,0.3214285714285714,0.2857142857142857,0.35714285714285715,0.42857142857142855,0.05050762722761054
ant-1.4.csv recall,0.4375,0.375,0.4375,0.375,0.375,0.375,0.375,0.375,0.5625,0.4375,0.375,0.375,0.4125,0.375,0.4375,0.5625,0.06038073644245599
ant-1.4.csv recall,0.47058823529411764,0.47058823529411764,0.4117647058823529,0.35294117647058826,0.47058823529411764,0.5294117647058824,0.4117647058823529,0.47058823529411764,0.4117647058823529,0.4117647058823529,0.35294117647058826,0.4117647058823529,0.4411764705882352,0.4411764705882353,0.47058823529411764,0.5294117647058824,0.04999038738816455
ant-1.4.csv recall,0.4666666666666667,0.5333333333333333,0.4,0.4666666666666667,0.4,0.4,0.4,0.5333333333333333,0.4666666666666667,0.5333333333333333,0.4,0.4,0.45999999999999996,0.4666666666666667,0.5166666666666666,0.5333333333333333,0.05837300238472753
ant-1.4.csv recall,0.26666666666666666,0.26666666666666666,0.2,0.26666666666666666,0.2,0.26666666666666666,0.4,0.26666666666666666,0.3333333333333333,0.3333333333333333,0.2,0.26666666666666666,0.28,0.26666666666666666,0.31666666666666665,0.4,0.06126243889817877
ant-1.4.csv recall,0.5,0.5,0.5833333333333334,0.5,0.5,0.5833333333333334,0.5,0.5,0.5,0.5,0.5,0.5,0.5166666666666667,0.5,0.5,0.5833333333333334,0.03513641844631534
ant-1.4.csv recall,0.2777777777777778,0.3333333333333333,0.3888888888888889,0.2777777777777778,0.2777777777777778,0.3333333333333333,0.3333333333333333,0.3888888888888889,0.3333333333333333,0.2777777777777778,0.2777777777777778,0.2777777777777778,0.3222222222222223,0.3333333333333333,0.3333333333333333,0.3888888888888889,0.043822813208145295
ant-1.4.csv recall,0.3125,0.4375,0.25,0.25,0.25,0.3125,0.3125,0.25,0.4375,0.25,0.25,0.25,0.30625,0.28125,0.3125,0.4375,0.07482618748361654
ant-1.5.csv recall,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.625,0.5,0.5,0.5,0.5,0.5125,0.5,0.5,0.625,0.03952847075210474
ant-1.5.csv recall,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.4,0.5,0.4,0.4,0.5,0.4800000000000001,0.5,0.5,0.5,0.04216370213557838
ant-1.5.csv recall,0.4,0.4,0.4,0.4,0.3,0.4,0.3,0.4,0.4,0.4,0.3,0.4,0.38,0.4,0.4,0.4,0.04216370213557841
ant-1.5.csv recall,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.3333333333333333,0.5555555555555556,0.4444444444444444,0.5555555555555556,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.3333333333333333,0.4444444444444444,0.45555555555555555,0.4444444444444444,0.4444444444444444,0.5555555555555556,0.06307180135528298
ant-1.5.csv recall,0.6,0.6,0.5,0.7,0.5,0.4,0.5,0.6,0.4,0.4,0.4,0.42500000000000004,0.5200000000000001,0.5,0.6,0.7,0.10327955589886442
ant-1.5.csv recall,0.2,0.2,0.26666666666666666,0.26666666666666666,0.26666666666666666,0.26666666666666666,0.3333333333333333,0.13333333333333333,0.26666666666666666,0.2,0.13333333333333333,0.2,0.24000000000000005,0.26666666666666666,0.26666666666666666,0.3333333333333333,0.05621826951410451
ant-1.5.csv recall,0.46153846153846156,0.46153846153846156,0.38461538461538464,0.46153846153846156,0.46153846153846156,0.38461538461538464,0.46153846153846156,0.46153846153846156,0.46153846153846156,0.3076923076923077,0.3076923076923077,0.40384615384615385,0.43076923076923074,0.46153846153846156,0.46153846153846156,0.46153846153846156,0.05378506913693085
ant-1.5.csv recall,0.625,0.625,0.75,0.75,0.625,0.5,0.625,0.5,0.75,0.375,0.375,0.53125,0.6125,0.625,0.71875,0.75,0.12430361575146916
ant-1.5.csv recall,0.5,0.5,0.6666666666666666,0.6666666666666666,0.5,0.5,0.6666666666666666,0.5,0.5,0.5,0.5,0.5,0.55,0.5,0.625,0.6666666666666666,0.0805076485899413
ant-1.5.csv recall,0.3076923076923077,0.23076923076923078,0.3076923076923077,0.46153846153846156,0.3076923076923077,0.3076923076923077,0.23076923076923078,0.38461538461538464,0.3076923076923077,0.38461538461538464,0.23076923076923078,0.3076923076923077,0.32307692307692315,0.3076923076923077,0.3653846153846154,0.46153846153846156,0.07068742949789858
ant-1.6.csv recall,0.6176470588235294,0.6470588235294118,0.6764705882352942,0.5588235294117647,0.6764705882352942,0.5882352941176471,0.6176470588235294,0.6176470588235294,0.6176470588235294,0.6764705882352942,0.5588235294117647,0.6176470588235294,0.6294117647058823,0.6176470588235294,0.6691176470588236,0.6764705882352942,0.03970285633591488
ant-1.6.csv recall,0.5641025641025641,0.5641025641025641,0.5641025641025641,0.5384615384615384,0.5384615384615384,0.5384615384615384,0.5641025641025641,0.5384615384615384,0.5384615384615384,0.48717948717948717,0.48717948717948717,0.5384615384615384,0.5435897435897437,0.5384615384615384,0.5641025641025641,0.5641025641025641,0.023562476499299528
ant-1.6.csv recall,0.7272727272727273,0.6060606060606061,0.6060606060606061,0.7272727272727273,0.6060606060606061,0.7272727272727273,0.6666666666666666,0.6666666666666666,0.5757575757575758,0.696969696969697,0.5757575757575758,0.6060606060606061,0.6606060606060608,0.6666666666666666,0.7196969696969697,0.7272727272727273,0.05855101715632097
ant-1.6.csv recall,0.6285714285714286,0.6,0.6571428571428571,0.6,0.6,0.6,0.6285714285714286,0.6571428571428571,0.6285714285714286,0.6285714285714286,0.6,0.6,0.6228571428571428,0.6285714285714286,0.6285714285714286,0.6571428571428571,0.02253744679276045
ant-1.6.csv recall,0.6176470588235294,0.6176470588235294,0.6176470588235294,0.6470588235294118,0.7058823529411765,0.5882352941176471,0.6176470588235294,0.6470588235294118,0.7058823529411765,0.5882352941176471,0.5882352941176471,0.6176470588235294,0.6352941176470588,0.6176470588235294,0.6470588235294118,0.7058823529411765,0.04205413841083769
ant-1.6.csv recall,0.5526315789473685,0.6578947368421053,0.631578947368421,0.631578947368421,0.6052631578947368,0.631578947368421,0.6578947368421053,0.5526315789473685,0.5526315789473685,0.6052631578947368,0.5526315789473685,0.5657894736842106,0.6078947368421053,0.618421052631579,0.631578947368421,0.6578947368421053,0.04197714425966805
ant-1.6.csv recall,0.7222222222222222,0.7222222222222222,0.6944444444444444,0.7222222222222222,0.6944444444444444,0.6944444444444444,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6388888888888888,0.6388888888888888,0.6666666666666666,0.6888888888888889,0.6944444444444444,0.7152777777777778,0.7222222222222222,0.028688765527462363
ant-1.6.csv recall,0.5714285714285714,0.6428571428571429,0.5714285714285714,0.6785714285714286,0.6785714285714286,0.5714285714285714,0.6071428571428571,0.5714285714285714,0.5357142857142857,0.6428571428571429,0.5357142857142857,0.5714285714285714,0.6071428571428571,0.5892857142857142,0.6428571428571429,0.6785714285714286,0.05050762722761057
