inputfile,,,,,,,,,,,min,lower,avg,median,upper,max,variance
jedit-3.2.csv recall,0.6785714285714286,0.6428571428571429,0.6785714285714286,0.6785714285714286,0.6428571428571429,0.6785714285714286,0.6428571428571429,0.6785714285714286,0.6785714285714286,0.6785714285714286,0.6428571428571429,0.6607142857142858,0.6678571428571429,0.6785714285714286,0.6785714285714286,0.6785714285714286,0.017251638983558845
jedit-3.2.csv recall,0.8285714285714286,0.7714285714285715,0.7428571428571429,0.8285714285714286,0.8571428571428571,0.7428571428571429,0.7714285714285715,0.8,0.8285714285714286,0.8,0.7428571428571429,0.7714285714285715,0.7971428571428572,0.8,0.8285714285714286,0.8571428571428571,0.03915200912589421
jedit-3.2.csv recall,0.8095238095238095,0.7857142857142857,0.7857142857142857,0.7619047619047619,0.7619047619047619,0.7857142857142857,0.8333333333333334,0.6904761904761905,0.7857142857142857,0.8095238095238095,0.6904761904761905,0.7738095238095237,0.7809523809523808,0.7857142857142857,0.7976190476190477,0.8333333333333334,0.03855542159203531
jedit-3.2.csv recall,0.8205128205128205,0.8717948717948718,0.8717948717948718,0.8717948717948718,0.8717948717948718,0.8717948717948718,0.8717948717948718,0.8205128205128205,0.8717948717948718,0.8717948717948718,0.8205128205128205,0.8717948717948718,0.8615384615384617,0.8717948717948718,0.8717948717948718,0.8717948717948718,0.02162241135157868
jedit-3.2.csv recall,0.9032258064516129,0.9354838709677419,0.9354838709677419,0.9354838709677419,0.9354838709677419,0.9354838709677419,0.9032258064516129,0.9354838709677419,0.9032258064516129,0.9354838709677419,0.9032258064516129,0.9193548387096774,0.9258064516129032,0.9354838709677419,0.9354838709677419,0.9354838709677419,0.015582125533537019
jedit-3.2.csv recall,0.8529411764705882,0.8529411764705882,0.8529411764705882,0.8529411764705882,0.8529411764705882,0.8529411764705882,0.8529411764705882,0.8529411764705882,0.8529411764705882,0.8529411764705882,0.8529411764705882,0.8529411764705882,0.8529411764705882,0.8529411764705882,0.8529411764705882,0.8529411764705882,0.0
jedit-3.2.csv recall,0.8235294117647058,0.8823529411764706,0.8823529411764706,0.8529411764705882,0.8823529411764706,0.8235294117647058,0.7647058823529411,0.8529411764705882,0.8235294117647058,0.8823529411764706,0.7647058823529411,0.8235294117647058,0.8470588235294118,0.8529411764705882,0.8823529411764706,0.8823529411764706,0.03872238756496373
jedit-3.2.csv recall,0.84375,0.84375,0.84375,0.8125,0.84375,0.84375,0.84375,0.84375,0.8125,0.8125,0.8125,0.828125,0.834375,0.84375,0.84375,0.84375,0.015095184110613996
jedit-3.2.csv recall,0.8125,0.8125,0.84375,0.84375,0.8125,0.84375,0.84375,0.8125,0.84375,0.84375,0.8125,0.8125,0.83125,0.84375,0.84375,0.84375,0.01613743060919757
jedit-3.2.csv recall,0.75,0.75,0.8333333333333334,0.8333333333333334,0.7777777777777778,0.8333333333333334,0.8333333333333334,0.6666666666666666,0.75,0.7777777777777778,0.6666666666666666,0.75,0.7805555555555557,0.7777777777777778,0.8333333333333334,0.8333333333333334,0.05470020551015532
ivy-2.0.csv recall,0.5384615384615384,0.5384615384615384,0.5384615384615384,0.5384615384615384,0.5384615384615384,0.5384615384615384,0.5384615384615384,0.5384615384615384,0.5384615384615384,0.5384615384615384,0.5384615384615384,0.5384615384615384,0.5384615384615384,0.5384615384615384,0.5384615384615384,0.5384615384615384,0.0
ivy-2.0.csv recall,0.6875,0.75,0.6875,0.6875,0.625,0.625,0.6875,0.75,0.6875,0.75,0.625,0.6875,0.69375,0.6875,0.71875,0.75,0.046116549210788865
ivy-2.0.csv recall,0.47368421052631576,0.5789473684210527,0.631578947368421,0.631578947368421,0.5789473684210527,0.47368421052631576,0.3684210526315789,0.5789473684210527,0.631578947368421,0.631578947368421,0.3684210526315789,0.5263157894736842,0.5578947368421053,0.5789473684210527,0.631578947368421,0.631578947368421,0.09014198300817634
ivy-2.0.csv recall,0.4166666666666667,0.3333333333333333,0.5,0.5,0.4166666666666667,0.5,0.5,0.5,0.5,0.3333333333333333,0.3333333333333333,0.4166666666666667,0.45,0.5,0.5,0.5,0.07027283689263066
ivy-2.0.csv recall,0.5294117647058824,0.5294117647058824,0.5294117647058824,0.5294117647058824,0.5294117647058824,0.5294117647058824,0.5294117647058824,0.5294117647058824,0.5294117647058824,0.5294117647058824,0.5294117647058824,0.5294117647058824,0.5294117647058824,0.5294117647058824,0.5294117647058824,0.5294117647058824,0.0
