inputfile,,,,,,,,,,,min,lower,avg,median,upper,max,variance
ant-1.3.csv pf,0.19444444444444445,0.1388888888888889,0.16666666666666666,0.16666666666666666,0.1388888888888889,0.1388888888888889,0.1388888888888889,0.1388888888888889,0.16666666666666666,0.16666666666666666,0.1388888888888889,0.1388888888888889,0.15555555555555559,0.1527777777777778,0.16666666666666666,0.19444444444444445,0.018425693279752218
ant-1.3.csv pf,0.1,0.1,0.1,0.125,0.1,0.1,0.075,0.1,0.1,0.1,0.075,0.1,0.1,0.1,0.1,0.125,0.01118033988749895
ant-1.3.csv pf,0.02857142857142857,0.05714285714285714,0.05714285714285714,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.05714285714285714,0.05714285714285714,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.04,0.02857142857142857,0.05714285714285714,0.05714285714285714,0.013997084244475303
ant-1.3.csv pf,0.16666666666666666,0.19444444444444445,0.1388888888888889,0.16666666666666666,0.16666666666666666,0.1388888888888889,0.16666666666666666,0.19444444444444445,0.16666666666666666,0.16666666666666666,0.1388888888888889,0.16666666666666666,0.16666666666666669,0.16666666666666666,0.16666666666666666,0.19444444444444445,0.017568209223157664
ant-1.3.csv pf,0.1111111111111111,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.09444444444444443,0.08333333333333333,0.1111111111111111,0.1111111111111111,0.013608276348795433
ant-1.3.csv pf,0.11764705882352941,0.14705882352941177,0.11764705882352941,0.14705882352941177,0.11764705882352941,0.11764705882352941,0.11764705882352941,0.11764705882352941,0.08823529411764706,0.11764705882352941,0.08823529411764706,0.11764705882352941,0.12058823529411763,0.11764705882352941,0.11764705882352941,0.14705882352941177,0.015838720020983833
ant-1.3.csv pf,0.08823529411764706,0.14705882352941177,0.11764705882352941,0.11764705882352941,0.08823529411764706,0.058823529411764705,0.11764705882352941,0.14705882352941177,0.11764705882352941,0.11764705882352941,0.058823529411764705,0.09558823529411765,0.11176470588235295,0.11764705882352941,0.11764705882352941,0.14705882352941177,0.025640582020827495
ant-1.3.csv pf,0.16666666666666666,0.16666666666666666,0.1388888888888889,0.1111111111111111,0.1111111111111111,0.16666666666666666,0.1388888888888889,0.16666666666666666,0.1388888888888889,0.1111111111111111,0.1111111111111111,0.11805555555555555,0.14166666666666666,0.1388888888888889,0.16666666666666666,0.16666666666666666,0.02307395517477243
ant-1.3.csv pf,0.02631578947368421,0.02631578947368421,0.02631578947368421,0.0,0.02631578947368421,0.02631578947368421,0.0,0.02631578947368421,0.02631578947368421,0.0,0.0,0.006578947368421052,0.018421052631578946,0.02631578947368421,0.02631578947368421,0.02631578947368421,0.012059409723568
ant-1.3.csv pf,0.15,0.15,0.15,0.125,0.15,0.15,0.15,0.15,0.15,0.125,0.125,0.15,0.14499999999999996,0.15,0.15,0.15,0.009999999999999998
ant-1.4.csv pf,0.06779661016949153,0.11864406779661017,0.0847457627118644,0.06779661016949153,0.0847457627118644,0.0847457627118644,0.0847457627118644,0.1016949152542373,0.11864406779661017,0.0847457627118644,0.06779661016949153,0.0847457627118644,0.08983050847457627,0.0847457627118644,0.09745762711864407,0.11864406779661017,0.01703368749342524
ant-1.4.csv pf,0.1111111111111111,0.13333333333333333,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.13333333333333333,0.1111111111111111,0.13333333333333333,0.13333333333333333,0.15555555555555556,0.1111111111111111,0.1111111111111111,0.12444444444444444,0.12222222222222222,0.13333333333333333,0.15555555555555556,0.01474055462380178
ant-1.4.csv pf,0.1,0.06,0.12,0.06,0.08,0.08,0.08,0.08,0.08,0.06,0.06,0.065,0.07999999999999999,0.08,0.08,0.12,0.01788854381999832
ant-1.4.csv pf,0.16666666666666666,0.2222222222222222,0.24074074074074073,0.2037037037037037,0.18518518518518517,0.2222222222222222,0.16666666666666666,0.2037037037037037,0.2037037037037037,0.2222222222222222,0.16666666666666666,0.1898148148148148,0.20370370370370366,0.2037037037037037,0.2222222222222222,0.24074074074074073,0.023424278964210215
