inputfile,,,,,,,,,,,min,lower,avg,median,upper,max,variance
ant-1.3.csv recall,0.2,0.4,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.6,0.2,0.2,0.26,0.2,0.2,0.6,0.12806248474865697
ant-1.3.csv recall,0.1,0.1,0.3,0.3,0.0,0.3,0.0,0.2,0.3,0.1,0.0,0.1,0.17,0.15000000000000002,0.3,0.3,0.11874342087037916
ant-1.3.csv recall,0.125,0.125,0.25,0.25,0.375,0.25,0.375,0.25,0.25,0.125,0.125,0.15625,0.2375,0.25,0.25,0.375,0.0875
ant-1.3.csv recall,0.375,0.25,0.0,0.0,0.125,0.25,0.25,0.25,0.25,0.375,0.0,0.15625,0.2125,0.25,0.25,0.375,0.12562344526401112
ant-1.3.csv recall,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.1111111111111111,0.1111111111111111,0.2222222222222222,0.1111111111111111,0.2222222222222222,0.2,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.044444444444444446
ant-1.3.csv recall,0.1111111111111111,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0,0.0,0.1111111111111111,0.0,0.027777777777777776,0.07777777777777777,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.05091750772173156
ant-1.3.csv recall,0.14285714285714285,0.42857142857142855,0.2857142857142857,0.2857142857142857,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.14285714285714285,0.2857142857142857,0.3285714285714285,0.2857142857142857,0.42857142857142855,0.42857142857142855,0.09147320339189784
ant-1.3.csv recall,0.16666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.3166666666666667,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.05
ant-1.3.csv recall,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.14285714285714285,0.0,0.0,0.2857142857142857,0.0,0.14285714285714285,0.1571428571428571,0.14285714285714285,0.25,0.2857142857142857,0.09999999999999999
ant-1.3.csv recall,0.0,0.0,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.14285714285714285,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.09035079029052512
