inputfile,,,,,,,,,,,min,lower,avg,median,upper,max,variance
jedit-3.2.csv pf,0.22857142857142856,0.22857142857142856,0.24285714285714285,0.22857142857142856,0.22857142857142856,0.22857142857142856,0.22857142857142856,0.22857142857142856,0.24285714285714285,0.22857142857142856,0.22857142857142856,0.22857142857142856,0.23142857142857146,0.22857142857142856,0.22857142857142856,0.24285714285714285,0.005714285714285716
jedit-3.2.csv pf,0.203125,0.21875,0.21875,0.203125,0.15625,0.21875,0.21875,0.1875,0.21875,0.171875,0.15625,0.1953125,0.2015625,0.2109375,0.21875,0.21875,0.0214808235701055
jedit-3.2.csv pf,0.3384615384615385,0.3384615384615385,0.3230769230769231,0.3384615384615385,0.3384615384615385,0.3384615384615385,0.3384615384615385,0.3230769230769231,0.3384615384615385,0.3230769230769231,0.3230769230769231,0.3307692307692308,0.3338461538461539,0.3384615384615385,0.3384615384615385,0.3384615384615385,0.007050116453778216
jedit-3.2.csv pf,0.21739130434782608,0.21739130434782608,0.21739130434782608,0.21739130434782608,0.21739130434782608,0.21739130434782608,0.21739130434782608,0.21739130434782608,0.21739130434782608,0.21739130434782608,0.21739130434782608,0.21739130434782608,0.21739130434782608,0.21739130434782608,0.21739130434782608,0.21739130434782608,0.0
jedit-3.2.csv pf,0.23529411764705882,0.23529411764705882,0.20588235294117646,0.23529411764705882,0.23529411764705882,0.23529411764705882,0.23529411764705882,0.23529411764705882,0.22058823529411764,0.23529411764705882,0.20588235294117646,0.23529411764705882,0.23088235294117648,0.23529411764705882,0.23529411764705882,0.23529411764705882,0.009416359172695368
jedit-3.2.csv pf,0.2987012987012987,0.2987012987012987,0.2987012987012987,0.2987012987012987,0.2987012987012987,0.2987012987012987,0.2987012987012987,0.2987012987012987,0.2987012987012987,0.2987012987012987,0.2987012987012987,0.2987012987012987,0.2987012987012987,0.2987012987012987,0.2987012987012987,0.2987012987012987,0.0
jedit-3.2.csv pf,0.2638888888888889,0.2777777777777778,0.2916666666666667,0.2916666666666667,0.2777777777777778,0.2777777777777778,0.2638888888888889,0.2777777777777778,0.25,0.2916666666666667,0.25,0.27083333333333337,0.2763888888888889,0.2777777777777778,0.2847222222222222,0.2916666666666667,0.013102751572300843
jedit-3.2.csv pf,0.352112676056338,0.3380281690140845,0.36619718309859156,0.4084507042253521,0.38028169014084506,0.352112676056338,0.36619718309859156,0.36619718309859156,0.36619718309859156,0.3380281690140845,0.3380281690140845,0.352112676056338,0.3633802816901408,0.36619718309859156,0.36619718309859156,0.4084507042253521,0.019718309859154938
jedit-3.2.csv pf,0.24242424242424243,0.24242424242424243,0.25757575757575757,0.24242424242424243,0.24242424242424243,0.24242424242424243,0.24242424242424243,0.22727272727272727,0.22727272727272727,0.24242424242424243,0.22727272727272727,0.24242424242424243,0.2409090909090909,0.24242424242424243,0.24242424242424243,0.25757575757575757,0.008159340616870464
jedit-3.2.csv pf,0.21428571428571427,0.21428571428571427,0.21428571428571427,0.22857142857142856,0.21428571428571427,0.22857142857142856,0.21428571428571427,0.21428571428571427,0.21428571428571427,0.21428571428571427,0.21428571428571427,0.21428571428571427,0.21714285714285714,0.21428571428571427,0.21428571428571427,0.22857142857142856,0.005714285714285716
