inputfile,,,,,,,,,,,min,lower,avg,median,upper,max,variance
jedit-3.2.csv recall,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.0
jedit-3.2.csv recall,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.0
jedit-3.2.csv recall,0.7272727272727273,0.696969696969697,0.696969696969697,0.696969696969697,0.7272727272727273,0.7272727272727273,0.696969696969697,0.696969696969697,0.7272727272727273,0.696969696969697,0.696969696969697,0.696969696969697,0.7090909090909092,0.696969696969697,0.7272727272727273,0.7272727272727273,0.014845392380504098
jedit-3.2.csv recall,0.75,0.75,0.7222222222222222,0.75,0.75,0.75,0.75,0.75,0.75,0.7222222222222222,0.7222222222222222,0.75,0.7444444444444445,0.75,0.75,0.75,0.011111111111111117
jedit-3.2.csv recall,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.0
jedit-3.2.csv recall,0.8387096774193549,0.8387096774193549,0.8387096774193549,0.8387096774193549,0.8387096774193549,0.8387096774193549,0.8387096774193549,0.8387096774193549,0.8387096774193549,0.8387096774193549,0.8387096774193549,0.8387096774193549,0.8387096774193548,0.8387096774193549,0.8387096774193549,0.8387096774193549,1.1102230246251565e-16
jedit-3.2.csv recall,0.7647058823529411,0.7352941176470589,0.7647058823529411,0.7058823529411765,0.7647058823529411,0.7647058823529411,0.7647058823529411,0.7352941176470589,0.7647058823529411,0.7352941176470589,0.7058823529411765,0.7352941176470589,0.75,0.7647058823529411,0.7647058823529411,0.7647058823529411,0.01973001156617457
jedit-3.2.csv recall,0.8709677419354839,0.8709677419354839,0.8709677419354839,0.8709677419354839,0.8709677419354839,0.8709677419354839,0.8709677419354839,0.8709677419354839,0.8709677419354839,0.8709677419354839,0.8709677419354839,0.8709677419354839,0.8709677419354838,0.8709677419354839,0.8709677419354839,0.8709677419354839,1.1102230246251565e-16
jedit-3.2.csv recall,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.8484848484848485,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.8212121212121213,0.8181818181818182,0.8181818181818182,0.8484848484848485,0.009090909090909082
jedit-3.2.csv recall,0.8181818181818182,0.8787878787878788,0.8484848484848485,0.8787878787878788,0.8181818181818182,0.8787878787878788,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.8484848484848485,0.8181818181818182,0.8181818181818182,0.8424242424242424,0.8333333333333334,0.8636363636363636,0.8787878787878788,0.026417569354791937
ivy-2.0.csv recall,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.909090909090909,0.9090909090909091,0.9090909090909091,0.9090909090909091,1.1102230246251565e-16
ivy-2.0.csv recall,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.7222222222222222,0.7222222222222222,0.6666666666666666,0.6666666666666666,0.7222222222222222,0.7222222222222222,0.6666666666666666,0.6666666666666666,0.6888888888888889,0.6666666666666666,0.7222222222222222,0.7222222222222222,0.02721655269759088
ivy-2.0.csv recall,0.625,0.625,0.6875,0.6875,0.6875,0.6875,0.6875,0.625,0.6875,0.6875,0.625,0.65625,0.66875,0.6875,0.6875,0.6875,0.028641098093473996
