inputfile,,,,,,,,,,,min,lower,avg,median,upper,max,variance
ant-1.3.csv recall,0.5714285714285714,0.42857142857142855,0.42857142857142855,0.0,0.2857142857142857,0.5714285714285714,0.5714285714285714,0.42857142857142855,0.42857142857142855,0.2857142857142857,0.0,0.3214285714285714,0.39999999999999997,0.42857142857142855,0.5357142857142857,0.5714285714285714,0.027755102040816326
ant-1.3.csv recall,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.2333333333333333,0.16666666666666666,0.3333333333333333,0.3333333333333333,0.006666666666666665
ant-1.3.csv recall,0.5,0.5,0.25,0.5,0.25,0.375,0.75,0.375,0.75,0.375,0.25,0.375,0.4625,0.4375,0.5,0.75,0.02828125
ant-1.3.csv recall,0.42857142857142855,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.5714285714285714,0.5714285714285714,0.2857142857142857,0.5714285714285714,0.42857142857142855,0.2857142857142857,0.46428571428571425,0.5714285714285714,0.5714285714285714,0.7142857142857143,0.7142857142857143,0.020408163265306124
ant-1.3.csv recall,0.3333333333333333,0.2222222222222222,0.3333333333333333,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.3333333333333333,0.3333333333333333,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.2666666666666667,0.2222222222222222,0.3333333333333333,0.3333333333333333,0.002962962962962963
ant-1.3.csv recall,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.5,0.5,0.6666666666666666,0.6666666666666666,0.027777777777777773
ant-1.3.csv recall,0.5714285714285714,0.42857142857142855,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.2857142857142857,0.5714285714285714,0.8571428571428571,0.5714285714285714,0.2857142857142857,0.5714285714285714,0.557142857142857,0.5714285714285714,0.5714285714285714,0.8571428571428571,0.018163265306122448
ant-1.3.csv recall,0.3333333333333333,0.5555555555555556,0.3333333333333333,0.2222222222222222,0.3333333333333333,0.3333333333333333,0.2222222222222222,0.5555555555555556,0.3333333333333333,0.3333333333333333,0.2222222222222222,0.3333333333333333,0.35555555555555557,0.3333333333333333,0.3333333333333333,0.5555555555555556,0.011851851851851855
ant-1.3.csv recall,0.5,0.3,0.5,0.0,0.6,0.5,0.6,0.6,0.2,0.6,0.0,0.35,0.43999999999999995,0.5,0.6,0.6,0.038400000000000004
ant-1.3.csv recall,0.3,0.4,0.5,0.1,0.3,0.5,0.2,0.2,0.6,0.3,0.1,0.225,0.33999999999999997,0.3,0.475,0.6,0.022399999999999996
ant-1.4.csv recall,0.4117647058823529,0.35294117647058826,0.47058823529411764,0.47058823529411764,0.5294117647058824,0.47058823529411764,0.4117647058823529,0.5294117647058824,0.47058823529411764,0.5294117647058824,0.35294117647058826,0.4264705882352941,0.46470588235294114,0.47058823529411764,0.5147058823529411,0.5294117647058824,0.003079584775086505
ant-1.4.csv recall,0.2857142857142857,0.2857142857142857,0.21428571428571427,0.42857142857142855,0.42857142857142855,0.2857142857142857,0.5,0.35714285714285715,0.2857142857142857,0.2857142857142857,0.21428571428571427,0.2857142857142857,0.3357142857142857,0.2857142857142857,0.4107142857142857,0.5,0.0071938775510204086
ant-1.4.csv recall,0.46153846153846156,0.46153846153846156,0.23076923076923078,0.3076923076923077,0.3076923076923077,0.23076923076923078,0.6153846153846154,0.3076923076923077,0.6153846153846154,0.38461538461538464,0.23076923076923078,0.3076923076923077,0.39230769230769236,0.34615384615384615,0.46153846153846156,0.6153846153846154,0.018284023668639054
ant-1.4.csv recall,0.46153846153846156,0.46153846153846156,0.6153846153846154,0.6153846153846154,0.46153846153846156,0.6153846153846154,0.6923076923076923,0.5384615384615384,0.46153846153846156,0.38461538461538464,0.38461538461538464,0.46153846153846156,0.5307692307692309,0.5,0.6153846153846154,0.6923076923076923,0.008816568047337279
ant-1.4.csv recall,0.4375,0.625,0.5,0.5,0.375,0.5625,0.25,0.6875,0.625,0.4375,0.25,0.4375,0.5,0.5,0.609375,0.6875,0.015625
ant-1.4.csv recall,0.8333333333333334,0.5,0.6666666666666666,0.8333333333333334,0.5833333333333334,0.4166666666666667,0.8333333333333334,0.6666666666666666,0.5,0.6666666666666666,0.4166666666666667,0.5208333333333334,0.6500000000000001,0.6666666666666666,0.7916666666666667,0.8333333333333334,0.020555555555555556
ant-1.4.csv recall,0.3125,0.3125,0.25,0.25,0.3125,0.3125,0.3125,0.125,0.3125,0.25,0.125,0.25,0.275,0.3125,0.3125,0.3125,0.0032812500000000003
ant-1.4.csv recall,0.5333333333333333,0.5333333333333333,0.5333333333333333,0.4666666666666667,0.4666666666666667,0.4,0.4,0.8,0.4666666666666667,0.4666666666666667,0.4,0.4666666666666667,0.5066666666666666,0.4666666666666667,0.5333333333333333,0.8,0.011733333333333335
ant-1.4.csv recall,0.42857142857142855,0.2857142857142857,0.2857142857142857,0.42857142857142855,0.42857142857142855,0.2857142857142857,0.21428571428571427,0.5,0.21428571428571427,0.2857142857142857,0.21428571428571427,0.2857142857142857,0.3357142857142857,0.2857142857142857,0.42857142857142855,0.5,0.00923469387755102
ant-1.4.csv recall,0.3888888888888889,0.3333333333333333,0.3333333333333333,0.3888888888888889,0.3888888888888889,0.3333333333333333,0.4444444444444444,0.16666666666666666,0.3888888888888889,0.2777777777777778,0.16666666666666666,0.3333333333333333,0.34444444444444444,0.3611111111111111,0.3888888888888889,0.4444444444444444,0.005432098765432099
ant-1.5.csv recall,0.4375,0.4375,0.5,0.4375,0.375,0.375,0.375,0.4375,0.375,0.3125,0.3125,0.375,0.40625,0.40625,0.4375,0.5,0.0025390625
